120473291 SESSION_BEGIN 24
120627046 DOWN 0.4750 0.4969
120627624 DOWN -0.2937 0.6156
120627685 DOWN -0.2937 0.6156
120628448 DOWN -0.2812 -0.3063
120628484 MOVE -0.2889 -0.2917
120628488 DOWN -0.2889 -0.2917
120629036 SYNCTIME f94
120632371 DOWN 0.5344 0.4563
120632385 MOVE 0.5312 0.4563
120632402 MOVE 0.5264 0.4563
120632418 MOVE 0.5217 0.4563
120632435 MOVE 0.5168 0.4563
120632445 MOVE 0.5156 0.4563
120632446 DOWN 0.5156 0.4563
120632663 SELECT 3
120632727 DOWN 0.6000 0.5781
120633428 BEGIN 57
120634955 DOWN 0.5188 0.5562
120635002 MOVE 0.5122 0.5562
120635019 MOVE 0.5078 0.5562
120635035 MOVE 0.5058 0.5598
120635050 MOVE 0.5031 0.5625
120635050 DOWN 0.5031 0.5625
120635889 DOWN 0.6469 -0.4469
120635902 MOVE 0.6433 -0.4469
120635919 MOVE 0.6406 -0.4489
120635935 MOVE 0.6406 -0.4516
120635969 MOVE 0.6406 -0.4533
120636015 DOWN 0.6406 -0.4533
120636572 DOWN -0.3219 -0.2469
120636602 MOVE -0.3125 -0.2583
120636619 MOVE -0.3125 -0.2609
120636677 DOWN -0.3125 -0.2609
120637245 DOWN -0.1875 0.4938
120637339 DOWN -0.1875 0.4938
120638353 DOWN 0.4156 0.8250
120638369 MOVE 0.4109 0.8250
120638447 DOWN 0.4109 0.8250
120638992 DOWN 0.5250 -0.3781
120639019 MOVE 0.5203 -0.3781
120639053 MOVE 0.5164 -0.3781
120639069 MOVE 0.5145 -0.3781
120639118 MOVE 0.5156 -0.3750
120639118 DOWN 0.5156 -0.3750
120639816 DOWN -0.0969 -0.2344
120639853 MOVE -0.1040 -0.2344
120639870 MOVE -0.1078 -0.2344
120639903 MOVE -0.1120 -0.2318
120639911 MOVE -0.1125 -0.2313
120639911 DOWN -0.1125 -0.2313
120640467 DOWN -0.1625 0.5031
120640561 DOWN -0.1625 0.5031
