130144991 MOVE 0.5969 0.5750
130144992 DOWN 0.5969 0.5750
130145413 DOWN -0.3625 0.6375
130145441 MOVE -0.3594 0.6344
130145441 DOWN -0.3594 0.6344
130145842 DOWN -0.2531 -0.3438
130145866 MOVE -0.2498 -0.3371
130145869 DOWN -0.2498 -0.3371
130146290 DOWN 0.4719 -0.4875
130146316 MOVE 0.4755 -0.4875
130146319 DOWN 0.4755 -0.4875
130146453 SYNCTIME f12
130146751 DOWN 0.5125 0.5344
130146799 MOVE 0.5266 0.5273
130146801 DOWN 0.5266 0.5273
130147222 DOWN -0.3562 0.3875
130147239 MOVE -0.3531 0.3906
130147239 DOWN -0.3531 0.3906
130149284 DOWN 0.5125 -0.2906
130149317 MOVE 0.5064 -0.2906
130149323 MOVE 0.5063 -0.2906
130149323 DOWN 0.5063 -0.2906
130149507 SELECT 1
130149564 MOVE 0.5375 -0.3844
130149564 DOWN 0.5375 -0.3844
130150521 BEGIN 55
130151439 DOWN -0.3125 -0.3875
130151467 MOVE -0.3094 -0.3875
130151468 DOWN -0.3094 -0.3875
130152168 DOWN 0.5281 -0.5063
130152184 MOVE 0.5236 -0.5017
130152196 MOVE 0.5219 -0.5000
130152197 DOWN 0.5219 -0.5000
130152917 DOWN 0.5906 0.5188
130152958 MOVE 0.5938 0.5188
130152958 DOWN 0.5938 0.5188
130153820 DOWN -0.4344 0.3875
130153838 DOWN -0.4344 0.3875
130154846 MOVE -0.2469 0.4938
130154846 DOWN -0.2469 0.4938
130155328 DOWN -0.2500 -0.3250
130155338 DOWN -0.2500 -0.3250
130155910 DOWN 0.6187 -0.4656
130155934 MOVE 0.6187 -0.4703
130155968 MOVE 0.6221 -0.4621
130155970 DOWN 0.6221 -0.4621
130156488 DOWN 0.7969 0.6500
130156535 MOVE 0.8147 0.6462
130156538 DOWN 0.8147 0.6462
130157002 DOWN -0.4969 0.6000
130157018 MOVE -0.4969 0.6129
130157030 MOVE -0.4938 0.6156
130157031 DOWN -0.4938 0.6156
130157369 SYNCTIME f55
130157451 DOWN -0.3656 -0.4094
130157458 DOWN -0.3656 -0.4094
130157987 DOWN 0.5250 -0.5000
130158027 MOVE 0.5281 -0.4969
130158027 DOWN 0.5281 -0.4969
130160005 DOWN 0.4531 -0.4375
130160035 MOVE 0.4572 -0.4375
130160045 MOVE 0.4625 -0.4313
130160046 DOWN 0.4625 -0.4313
130160229 SELECT 1
130160284 MOVE 0.5437 -0.6531
130160286 DOWN 0.5437 -0.6531
130161179 BEGIN 2
130161934 DOWN -0.3469 -0.5875
130161953 MOVE -0.3515 -0.5782
130161964 MOVE -0.3500 -0.5719
130161965 DOWN -0.3500 -0.5719
130162815 DOWN 0.5000 -0.4531
130162832 MOVE 0.5000 -0.4500
130162833 DOWN 0.5000 -0.4500
130163512 DOWN -0.5125 0.6219
130163537 MOVE -0.4727 0.6117
130163540 DOWN -0.4727 0.6117
130164348 DOWN 0.5875 0.6656
130164386 MOVE 0.5945 0.6656
130164387 DOWN 0.5945 0.6656
130165529 DOWN -0.4031 -0.5094
130165554 MOVE -0.4031 -0.5060
130165557 DOWN -0.4031 -0.5060
130166010 DOWN 0.6344 -0.4219
130166017 DOWN 0.6344 -0.4219
130166492 DOWN -0.3625 0.5562
130166536 MOVE -0.3442 0.5471
130166542 MOVE -0.3438 0.5469
130166542 DOWN -0.3438 0.5469
130166899 DOWN 0.4844 0.4719
130166936 MOVE 0.4932 0.4838
130166938 DOWN 0.4932 0.4838
130167488 DOWN -0.3844 -0.3656
130167520 MOVE -0.3675 -0.3656
130167527 MOVE -0.3656 -0.3656
130167528 DOWN -0.3656 -0.3656
130167884 DOWN 0.6500 -0.4938
130167912 MOVE 0.6531 -0.4875
130167913 DOWN 0.6531 -0.4875
130168034 SYNCTIME f02
130168301 DOWN -0.2781 0.5469
130168318 MOVE -0.2656 0.5531
130168319 DOWN -0.2656 0.5531
130168675 DOWN 0.5625 0.5781
130168704 MOVE 0.5719 0.5906
130168704 DOWN 0.5719 0.5906
130170716 DOWN -0.4000 -0.4781
130170754 MOVE -0.3842 -0.4739
130170755 DOWN -0.3842 -0.4739
130170939 SELECT 0
130170985 DOWN -0.3531 -0.5312
130171782 BEGIN 7
130172763 DOWN -0.2844 -0.5750
130172788 MOVE -0.2810 -0.5716
130172792 DOWN -0.2810 -0.5716
130173404 DOWN 0.5406 -0.4688
130173446 DOWN 0.5406 -0.4688
130174254 DOWN -0.4688 0.3625
130174303 MOVE -0.4594 0.3625
130174304 DOWN -0.4594 0.3625
130175197 DOWN 0.5500 0.6781
130175221 MOVE 0.5402 0.6750
130175248 DOWN 0.5402 0.6750
130176045 DOWN -0.1719 0.5406
130176072 MOVE -0.1681 0.5368
130176088 MOVE -0.1567 0.5344
130176094 MOVE -0.1562 0.5344
130176094 DOWN -0.1562 0.5344
130176773 DOWN -0.2719 -0.3875
130176813 DOWN -0.2719 -0.3875
130177534 DOWN 0.5063 -0.4094
130177541 DOWN 0.5063 -0.4094
130178436 DOWN 0.6031 0.4281
130178497 DOWN 0.6031 0.4281
130178549 SYNCTIME f07
130179197 DOWN 0.6344 -0.3750
130179222 MOVE 0.6379 -0.3785
130179236 MOVE 0.6438 -0.3719
130179237 DOWN 0.6438 -0.3719
130182796 DOWN 0.6187 -0.3719
130182823 MOVE 0.6102 -0.3878
130182836 MOVE 0.6094 -0.3906
130182836 DOWN 0.6094 -0.3906
130182997 SELECT 1
130183023 DOWN 0.6313 -0.3844
130183861 BEGIN 40
130184790 DOWN -0.3781 -0.3938
130184807 MOVE -0.3734 -0.3938
130184811 DOWN -0.3734 -0.3938
130186454 DOWN 0.5594 -0.3938
130186482 MOVE 0.5594 -0.3969
130186483 DOWN 0.5594 -0.3969
130187258 DOWN -0.3187 0.4875
130187274 MOVE -0.3274 0.4832
130187287 MOVE -0.3281 0.4719
130187288 DOWN -0.3281 0.4719
130188740 DOWN 0.6656 0.5656
130188758 DOWN 0.6656 0.5656
130189716 DOWN -0.2250 0.4219
130189741 MOVE -0.2285 0.4183
130189765 MOVE -0.2219 0.4219
130189766 DOWN -0.2219 0.4219
130190692 DOWN -0.3562 -0.5188
130190708 MOVE -0.3647 -0.5145
130190724 MOVE -0.3688 -0.5097
130190731 MOVE -0.3688 -0.5094
130190732 DOWN -0.3688 -0.5094
130191539 DOWN 0.4625 -0.3969
130191558 DOWN 0.4625 -0.3969
130192279 DOWN 0.6344 0.6844
130192329 DOWN 0.6344 0.6844
130192847 DOWN -0.4437 0.6250
130192854 DOWN -0.4437 0.6250
130193210 SYNCTIME f40
130193263 DOWN -0.2562 -0.4938
130193292 DOWN -0.2562 -0.4938
130196240 DOWN -0.4812 0.6062
130196275 MOVE -0.4703 0.6023
130196278 DOWN -0.4703 0.6023
130196483 SELECT 2
130196506 DOWN -0.3500 0.4781
130198772 BEGIN 4
130199553 DOWN -0.2469 -0.5437
130199576 MOVE -0.2437 -0.5501
130199581 DOWN -0.2437 -0.5501
130200260 DOWN 0.3656 -0.4125
130200321 MOVE 0.3688 -0.4125
130200322 DOWN 0.3688 -0.4125
130201162 DOWN -0.5594 0.5500
130201176 MOVE -0.5635 0.5459
130201193 MOVE -0.5517 0.5386
130201200 MOVE -0.5500 0.5375
130201200 DOWN -0.5500 0.5375
130202673 DOWN 0.5781 0.5906
